品名,最低价,平均价,最高价,规格,产地,单位,发布日期
紫薯,1.8,2.4,3.0,,,斤,2021-12-10 00:00:00
茭白,5.5,5.75,6.0,,苏,斤,2021-12-10 00:00:00
荸荠,2.2,2.35,2.5,,皖,斤,2021-12-10 00:00:00
芋头,1.5,1.55,1.6,,鲁,斤,2021-12-10 00:00:00
姜,1.5,2.5,3.5,姜头\整,冀鲁,斤,2021-12-10 00:00:00
大蒜,3.0,3.7,4.4,,豫苏鲁,斤,2021-12-10 00:00:00
蒜米,3.2,3.5,3.8,机剥\手工,鲁,斤,2021-12-10 00:00:00
大葱,1.8,2.0,2.2,毛\净,冀鲁辽,斤,2021-12-10 00:00:00
小葱,5.0,5.25,5.5,,辽,斤,2021-12-10 00:00:00
蒜苗,3.0,4.75,6.5,,鲁,斤,2021-12-10 00:00:00
蒜黄,3.6,3.8,4.0,,冀,斤,2021-12-10 00:00:00
青蒜,3.5,3.65,3.8,,鲁豫,斤,2021-12-10 00:00:00
平菇,2.8,2.9,3.0,小叶,京,斤,2021-12-10 00:00:00
香菇,3.0,3.75,4.5,,冀,斤,2021-12-10 00:00:00
白玉菇,4.5,5.0,5.5,,京,斤,2021-12-10 00:00:00
口蘑,8.0,8.5,9.0,,豫,斤,2021-12-10 00:00:00
杏鲍菇,3.0,3.5,4.0,,苏,斤,2021-12-10 00:00:00
金针菇,2.0,2.5,3.0,,辽,斤,2021-12-10 00:00:00
油菜,2.0,2.25,2.5,,,斤,2021-12-10 00:00:00
小白菜,2.0,2.25,2.5,,,斤,2021-12-10 00:00:00
油麦菜,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
奶白菜,3.0,3.1,3.2,,,斤,2021-12-10 00:00:00
散生菜,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
香葱,4.5,4.75,5.0,,,斤,2021-12-10 00:00:00
茼蒿,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
蒿子秆,2.5,2.75,3.0,,,斤,2021-12-10 00:00:00
水萝卜,4.0,4.25,4.5,,,斤,2021-12-10 00:00:00
樱桃萝卜,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
香芹,3.5,3.75,4.0,,,斤,2021-12-10 00:00:00
菠菜,4.0,4.25,4.5,,,斤,2021-12-10 00:00:00
苋菜,5.5,5.75,6.0,,,斤,2021-12-10 00:00:00
菊花菜,2.0,2.5,3.0,,,斤,2021-12-10 00:00:00
黄心菜,3.0,3.5,4.0,,,斤,2021-12-10 00:00:00
青蒜,5.5,5.75,6.0,,,斤,2021-12-10 00:00:00
盖菜,2.0,2.25,2.5,,,斤,2021-12-10 00:00:00
芥兰,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
菜心,3.0,3.5,4.0,,,斤,2021-12-10 00:00:00
空心菜,6.5,6.75,7.0,,,斤,2021-12-10 00:00:00
鸡毛菜,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
豌豆苗,4.0,4.25,4.5,,,斤,2021-12-10 00:00:00
快菜,2.5,2.75,3.0,,,斤,2021-12-10 00:00:00
苦菊,4.5,5.0,5.5,,,斤,2021-12-10 00:00:00
穿心莲,2.5,2.75,3.0,,,斤,2021-12-10 00:00:00
木耳菜,6.0,6.5,7.0,,,斤,2021-12-10 00:00:00
菠萝,2.0,2.25,2.5,箱装（上六下六）,,斤,2021-12-10 00:00:00
圣女果,8.0,8.5,9.0,千禧,,斤,2021-12-10 00:00:00
百香果,7.0,7.5,8.0,,,斤,2021-12-10 00:00:00
冬枣,2.0,4.0,6.0,,,斤,2021-12-10 00:00:00
黑枣,7.0,8.0,9.0,,,斤,2021-12-10 00:00:00
九九草莓,30.0,36.0,42.0,,,斤,2021-12-10 00:00:00
宁玉草莓,20.0,22.5,25.0,,,斤,2021-12-10 00:00:00
甜宝草莓,16.0,21.5,27.0,奶油,,斤,2021-12-10 00:00:00
红颜草莓,18.0,21.0,24.0,,,斤,2021-12-10 00:00:00
人参果,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
火龙果,2.5,5.0,7.5,红,,斤,2021-12-10 00:00:00
火龙果,2.5,3.5,4.5,白,,斤,2021-12-10 00:00:00
板栗,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
油栗,3.5,5.75,8.0,,,斤,2021-12-10 00:00:00
木瓜,4.5,5.0,5.5,,,斤,2021-12-10 00:00:00
柿饼,7.0,9.5,12.0,,,斤,2021-12-10 00:00:00
磨盘柿子,1.8,2.0,2.2,,,斤,2021-12-10 00:00:00
脆皮柿子,2.8,2.9,3.0,,,斤,2021-12-10 00:00:00
