品名,最低价,平均价,最高价,规格,产地,单位,发布日期
黄豆芽,0.85,0.88,0.9,,,斤,2021-12-10 00:00:00
番茄,1.5,2.15,2.8,黑框,蒙,斤,2021-12-10 00:00:00
番茄,2.7,3.0,3.3,白框,鲁蒙冀,斤,2021-12-10 00:00:00
黄瓜,1.7,2.45,3.2,袋\箱,鲁辽云,斤,2021-12-10 00:00:00
黄瓜,3.3,3.45,3.6,鲜干花,冀,斤,2021-12-10 00:00:00
小黄瓜,5.0,5.2,5.4,旱\荷兰,辽,斤,2021-12-10 00:00:00
茄子,1.8,2.3,2.8,精选,冀鲁云,斤,2021-12-10 00:00:00
长茄,1.5,1.75,2.0,精选,鲁辽,斤,2021-12-10 00:00:00
广茄,1.5,2.15,2.8,,粤,斤,2021-12-10 00:00:00
线茄,2.0,3.0,4.0,精选,冀鲁,斤,2021-12-10 00:00:00
冬瓜,1.4,1.5,1.6,吊,辽桂,斤,2021-12-10 00:00:00
冬瓜,1.0,1.05,1.1,地,苏,斤,2021-12-10 00:00:00
毛冬瓜,1.4,1.5,1.6,长条\小个,冀豫,斤,2021-12-10 00:00:00
架豆,3.6,4.0,4.4,,冀,斤,2021-12-10 00:00:00
豆王,2.7,3.35,4.0,精选,云冀,斤,2021-12-10 00:00:00
扁豆,3.2,3.65,4.1,精选,冀,斤,2021-12-10 00:00:00
砂糖橘,2.0,2.9,3.8,,,斤,2021-12-10 00:00:00
耙耙柑（丑橘）,3.5,4.75,6.0,,,斤,2021-12-10 00:00:00
爱媛,3.0,4.0,5.0,,,斤,2021-12-10 00:00:00
赣南脐橙Ф65-Ф95,2.4,3.2,4.0,,,斤,2021-12-10 00:00:00
鄂、湘、川脐橙,2.5,2.85,3.2,,,斤,2021-12-10 00:00:00
沃柑,4.0,4.75,5.5,贵妃柑,,斤,2021-12-10 00:00:00
贡柑,3.0,3.5,4.0,,,斤,2021-12-10 00:00:00
冰糖橙,1.3,2.4,3.5,,,斤,2021-12-10 00:00:00
芦柑,2.5,2.75,3.0,,,斤,2021-12-10 00:00:00
金桔,2.7,4.85,7.0,,,斤,2021-12-10 00:00:00
蜜柚,1.6,2.1,2.6,红心,,斤,2021-12-10 00:00:00
蜜柚,1.5,1.75,2.0,白心,,斤,2021-12-10 00:00:00
葡萄柚,3.5,4.0,4.5,,,斤,2021-12-10 00:00:00
猕猴桃,7.0,7.75,8.5,翠香,,斤,2021-12-10 00:00:00
猕猴桃,2.5,3.5,4.5,徐香,,斤,2021-12-10 00:00:00
猕猴桃,2.0,2.4,2.8,海沃德,,斤,2021-12-10 00:00:00
猕猴桃,1.8,2.15,2.5,秦美亚特,,斤,2021-12-10 00:00:00
无籽小号-大号,4.6,4.7,4.8,,,斤,2021-12-10 00:00:00
麒麟、甜蜜蜜,3.2,3.85,4.5,,,斤,2021-12-10 00:00:00
黑美人,2.8,2.9,3.0,,,斤,2021-12-10 00:00:00
穿心莲,2.5,2.75,3.0,,,斤,2021-12-10 00:00:00
木耳菜,6.0,6.5,7.0,,,斤,2021-12-10 00:00:00
菠萝,2.0,2.25,2.5,箱装（上六下六）,,斤,2021-12-10 00:00:00
圣女果,8.0,8.5,9.0,千禧,,斤,2021-12-10 00:00:00
百香果,7.0,7.5,8.0,,,斤,2021-12-10 00:00:00
冬枣,2.0,4.0,6.0,,,斤,2021-12-10 00:00:00
黑枣,7.0,8.0,9.0,,,斤,2021-12-10 00:00:00
九九草莓,30.0,36.0,42.0,,,斤,2021-12-10 00:00:00
宁玉草莓,20.0,22.5,25.0,,,斤,2021-12-10 00:00:00
甜宝草莓,16.0,21.5,27.0,奶油,,斤,2021-12-10 00:00:00
红颜草莓,18.0,21.0,24.0,,,斤,2021-12-10 00:00:00
人参果,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
火龙果,2.5,5.0,7.5,红,,斤,2021-12-10 00:00:00
火龙果,2.5,3.5,4.5,白,,斤,2021-12-10 00:00:00
板栗,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
油栗,3.5,5.75,8.0,,,斤,2021-12-10 00:00:00
木瓜,4.5,5.0,5.5,,,斤,2021-12-10 00:00:00
柿饼,7.0,9.5,12.0,,,斤,2021-12-10 00:00:00
磨盘柿子,1.8,2.0,2.2,,,斤,2021-12-10 00:00:00
脆皮柿子,2.8,2.9,3.0,,,斤,2021-12-10 00:00:00
散生菜,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
香葱,4.5,4.75,5.0,,,斤,2021-12-10 00:00:00
茼蒿,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
蒿子秆,2.5,2.75,3.0,,,斤,2021-12-10 00:00:00
水萝卜,4.0,4.25,4.5,,,斤,2021-12-10 00:00:00
樱桃萝卜,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
香芹,3.5,3.75,4.0,,,斤,2021-12-10 00:00:00
菠菜,4.0,4.25,4.5,,,斤,2021-12-10 00:00:00
苋菜,5.5,5.75,6.0,,,斤,2021-12-10 00:00:00
菊花菜,2.0,2.5,3.0,,,斤,2021-12-10 00:00:00
黄心菜,3.0,3.5,4.0,,,斤,2021-12-10 00:00:00
青蒜,5.5,5.75,6.0,,,斤,2021-12-10 00:00:00
盖菜,2.0,2.25,2.5,,,斤,2021-12-10 00:00:00
芥兰,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
菜心,3.0,3.5,4.0,,,斤,2021-12-10 00:00:00
空心菜,6.5,6.75,7.0,,,斤,2021-12-10 00:00:00
鸡毛菜,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
豌豆苗,4.0,4.25,4.5,,,斤,2021-12-10 00:00:00
快菜,2.5,2.75,3.0,,,斤,2021-12-10 00:00:00
苦菊,4.5,5.0,5.5,,,斤,2021-12-10 00:00:00
甘蔗,1.3,1.4,1.5,,,斤,2021-12-10 00:00:00
柠檬,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
石榴,3.0,5.0,7.0,,四川,斤,2021-12-10 00:00:00
山楂,2.5,3.0,3.5,,,斤,2021-12-10 00:00:00
姑娘果（灯笼果）,7.0,9.5,12.0,,,斤,2021-12-10 00:00:00
鸭梨,1.1,1.3,1.5,,,斤,2021-12-10 00:00:00
雪花梨,1.2,1.4,1.6,,,斤,2021-12-10 00:00:00
皇冠梨,2.2,2.5,2.8,纸箱,,斤,2021-12-10 00:00:00
南果梨,1.2,2.35,3.5,,,斤,2021-12-10 00:00:00
丰水梨,3.4,3.6,3.8,,,斤,2021-12-10 00:00:00
广梨,1.8,2.5,3.2,,,斤,2021-12-10 00:00:00
酥梨,1.6,1.8,2.0,,,斤,2021-12-10 00:00:00
库尔勒香梨,3.5,3.9,4.3,,,斤,2021-12-10 00:00:00
红啤梨,3.5,4.0,4.5,,,斤,2021-12-10 00:00:00
蜜梨,2.0,2.25,2.5,,,斤,2021-12-10 00:00:00
京白梨,1.6,1.8,2.0,,,斤,2021-12-10 00:00:00
贵妃梨,1.2,1.35,1.5,,,斤,2021-12-10 00:00:00
蜜桔,1.4,1.8,2.2,,,斤,2021-12-10 00:00:00
小叶桔,1.4,1.95,2.5,,,斤,2021-12-10 00:00:00
南丰蜜桔,2.0,2.5,3.0,,,斤,2021-12-10 00:00:00
荸荠,2.2,2.35,2.5,,皖,斤,2021-12-10 00:00:00
芋头,1.5,1.55,1.6,,鲁,斤,2021-12-10 00:00:00
姜,1.5,2.5,3.5,姜头\整,冀鲁,斤,2021-12-10 00:00:00
大蒜,3.0,3.7,4.4,,豫苏鲁,斤,2021-12-10 00:00:00
蒜米,3.2,3.5,3.8,机剥\手工,鲁,斤,2021-12-10 00:00:00
大葱,1.8,2.0,2.2,毛\净,冀鲁辽,斤,2021-12-10 00:00:00
小葱,5.0,5.25,5.5,,辽,斤,2021-12-10 00:00:00
蒜苗,3.0,4.75,6.5,,鲁,斤,2021-12-10 00:00:00
蒜黄,3.6,3.8,4.0,,冀,斤,2021-12-10 00:00:00
青蒜,3.5,3.65,3.8,,鲁豫,斤,2021-12-10 00:00:00
平菇,2.8,2.9,3.0,小叶,京,斤,2021-12-10 00:00:00
香菇,3.0,3.75,4.5,,冀,斤,2021-12-10 00:00:00
白玉菇,4.5,5.0,5.5,,京,斤,2021-12-10 00:00:00
口蘑,8.0,8.5,9.0,,豫,斤,2021-12-10 00:00:00
杏鲍菇,3.0,3.5,4.0,,苏,斤,2021-12-10 00:00:00
金针菇,2.0,2.5,3.0,,辽,斤,2021-12-10 00:00:00
油菜,2.0,2.25,2.5,,,斤,2021-12-10 00:00:00
小白菜,2.0,2.25,2.5,,,斤,2021-12-10 00:00:00
油麦菜,4.0,4.5,5.0,,,斤,2021-12-10 00:00:00
奶白菜,3.0,3.1,3.2,,,斤,2021-12-10 00:00:00
特小凤,3.0,3.5,4.0,,,斤,2021-12-10 00:00:00
甜王,3.5,3.75,4.0,,,斤,2021-12-10 00:00:00
国产香蕉,3.0,3.1,3.2,,,斤,2021-12-10 00:00:00
南美、菲律宾香蕉,3.5,3.75,4.0,,,斤,2021-12-10 00:00:00
泰国香蕉,7.0,7.25,7.5,帝王蕉,,斤,2021-12-10 00:00:00
晓蜜25号,3.0,3.25,3.5,,,斤,2021-12-10 00:00:00
黄金瓜,3.5,3.85,4.2,金蜜,,斤,2021-12-10 00:00:00
网纹,4.5,5.0,5.5,,,斤,2021-12-10 00:00:00
绿宝甜瓜,8.0,8.25,8.5,,,斤,2021-12-10 00:00:00
博阳,6.0,6.25,6.5,系列,,斤,2021-12-10 00:00:00
久红瑞,3.5,3.75,4.0,,,斤,2021-12-10 00:00:00
富士,1.8,2.2,2.6,纸袋Φ70-84,,斤,2021-12-10 00:00:00
富士,2.6,3.2,3.8,纸袋Φ85以上,,斤,2021-12-10 00:00:00
富士,1.5,2.0,2.5,纸袋+膜袋,,斤,2021-12-10 00:00:00
黄元帅,1.6,2.0,2.4,,,斤,2021-12-10 00:00:00
花牛,1.5,2.25,3.0,,,斤,2021-12-10 00:00:00
阿克苏,3.5,4.0,4.5,冰糖心,新疆,斤,2021-12-10 00:00:00
国光,1.3,1.85,2.4,,,斤,2021-12-10 00:00:00
寒富苹果,1.3,1.55,1.8,,辽宁,斤,2021-12-10 00:00:00
阳光玫瑰,10.0,21.0,32.0,,,斤,2021-12-10 00:00:00
红提,4.5,5.25,6.0,,,斤,2021-12-10 00:00:00
红宝石,4.5,5.0,5.5,,,斤,2021-12-10 00:00:00
克伦生,7.0,8.5,10.0,,,斤,2021-12-10 00:00:00
黑提,7.0,8.0,9.0,夏黑,,斤,2021-12-10 00:00:00
辽峰,4.0,5.0,6.0,,,斤,2021-12-10 00:00:00
巨峰,2.5,3.0,3.5,,,斤,2021-12-10 00:00:00
木纳格,3.8,4.4,5.0,,,斤,2021-12-10 00:00:00
小台农,12.0,12.5,13.0,生,,斤,2021-12-10 00:00:00
青皮,6.0,6.5,7.0,,,斤,2021-12-10 00:00:00
凯特,6.5,6.75,7.0,,,斤,2021-12-10 00:00:00
肯特\新世纪\澳芒,6.5,7.0,7.5,,,斤,2021-12-10 00:00:00
高乐蜜芒果,6.0,6.5,7.0,,,斤,2021-12-10 00:00:00
水仙芒果,7.0,8.5,10.0,,,斤,2021-12-10 00:00:00
白条猪,11.25,11.25,11.25,瘦,,斤,2021-12-10 00:00:00
白条猪,9.63,9.64,9.65,肥,,斤,2021-12-10 00:00:00
前臀尖,10.5,11.0,11.5,瘦,,斤,2021-12-10 00:00:00
前臀尖,9.5,10.0,10.5,肥,,斤,2021-12-10 00:00:00
后臀尖,10.5,11.0,11.5,瘦,,斤,2021-12-10 00:00:00
后臀尖,9.5,10.0,10.5,肥,,斤,2021-12-10 00:00:00
五花肉,13.0,13.5,14.0,瘦,,斤,2021-12-10 00:00:00
五花肉,12.0,12.5,13.0,肥,,斤,2021-12-10 00:00:00
纯通脊,12.0,12.5,13.0,,,斤,2021-12-10 00:00:00
通脊,10.0,10.5,11.0,,,斤,2021-12-10 00:00:00
纯瘦肉,11.0,11.5,12.0,,,斤,2021-12-10 00:00:00
护心肉,13.0,13.0,13.0,,,斤,2021-12-10 00:00:00
前肘,8.5,9.5,10.5,,,斤,2021-12-10 00:00:00
后肘（带骨）,7.0,7.75,8.5,,,斤,2021-12-10 00:00:00
后肘（去骨）,8.5,8.75,9.0,,,斤,2021-12-10 00:00:00
猪尾巴,38.0,39.0,40.0,,,斤,2021-12-10 00:00:00
猪蹄,19.0,19.25,19.5,,,斤,2021-12-10 00:00:00
纯排骨,19.0,20.5,22.0,,,斤,2021-12-10 00:00:00
纯腔骨,7.0,8.0,9.0,,,斤,2021-12-10 00:00:00
腔排骨,12.0,13.0,14.0,,,斤,2021-12-10 00:00:00
棒骨,9.0,9.5,10.0,,,斤,2021-12-10 00:00:00
猪头,9.0,9.0,9.0,,,斤,2021-12-10 00:00:00
猪口条,14.0,14.0,14.0,,,斤,2021-12-10 00:00:00
猪耳,26.0,27.0,28.0,,,斤,2021-12-10 00:00:00
猪脑,25.0,25.5,26.0,,,斤,2021-12-10 00:00:00
猪肚,20.0,20.5,21.0,,,斤,2021-12-10 00:00:00
猪板油,6.0,6.5,7.0,,,斤,2021-12-10 00:00:00
肥膘肉,5.0,5.5,6.0,,,斤,2021-12-10 00:00:00
猪腰子,13.0,14.0,15.0,,,斤,2021-12-10 00:00:00
猪心,8.0,8.5,9.0,,,斤,2021-12-10 00:00:00
猪肝,5.0,5.5,6.0,,,斤,2021-12-10 00:00:00
猪肺,3.0,3.5,4.0,,,个,2021-12-10 00:00:00
猪皮,5.0,5.5,6.0,,,斤,2021-12-10 00:00:00
猪肠头,17.0,17.0,17.0,,,斤,2021-12-10 00:00:00
猪肠,14.0,14.0,14.0,,,斤,2021-12-10 00:00:00
整牛,33.25,33.25,33.25,,,斤,2021-12-10 00:00:00
牛前腱,37.0,37.0,37.0,,,斤,2021-12-10 00:00:00
牛后腱,37.0,37.0,37.0,,,斤,2021-12-10 00:00:00
牛前腿,34.0,34.5,35.0,,,斤,2021-12-10 00:00:00
牛后腿,34.0,34.5,35.0,,,斤,2021-12-10 00:00:00
牛腰窝,34.0,34.0,34.0,,,斤,2021-12-10 00:00:00
牛柳,37.0,37.0,37.0,里脊,,斤,2021-12-10 00:00:00
精牛柳,40.0,40.0,40.0,,,斤,2021-12-10 00:00:00
牛腩,35.0,35.0,35.0,,,斤,2021-12-10 00:00:00
牛林,35.0,35.0,35.0,,,斤,2021-12-10 00:00:00
牛油,6.0,6.0,6.0,,,斤,2021-12-10 00:00:00
牛金钱腱,48.0,49.0,50.0,,,斤,2021-12-10 00:00:00
牛骨,5.0,5.0,5.0,,,斤,2021-12-10 00:00:00
牛排骨,30.0,30.0,30.0,,,斤,2021-12-10 00:00:00
牛板筋,34.0,34.5,35.0,,,斤,2021-12-10 00:00:00
牛尾,32.0,32.0,32.0,,,斤,2021-12-10 00:00:00
牛上脑,34.0,34.0,34.0,,,斤,2021-12-10 00:00:00
整羊,27.5,28.0,28.5,,,斤,2021-12-10 00:00:00
去骨羊前腿,36.0,36.5,37.0,,,斤,2021-12-10 00:00:00
去骨羊后腿,36.0,36.5,37.0,,,斤,2021-12-10 00:00:00
羊腰窝,34.0,34.0,34.0,,,斤,2021-12-10 00:00:00
羊肉片,36.0,38.0,40.0,,,斤,2021-12-10 00:00:00
羊腰子,13.0,14.0,15.0,挂油,,个,2021-12-10 00:00:00
羊蝎子,18.0,19.0,20.0,普通,,斤,2021-12-10 00:00:00
羊蝎子,28.0,29.0,30.0,精品,,斤,2021-12-10 00:00:00
羊排骨,27.0,27.0,27.0,,,斤,2021-12-10 00:00:00
羊尾巴油,9.0,9.0,9.0,,,斤,2021-12-10 00:00:00
羊小腿,23.0,23.5,24.0,羊棒,,斤,2021-12-10 00:00:00
羊腱子肉,36.0,36.5,37.0,,,斤,2021-12-10 00:00:00
羊上脑,35.0,35.5,36.0,,,斤,2021-12-10 00:00:00
羊骨头,10.0,10.5,11.0,,,斤,2021-12-10 00:00:00
羊腩,24.0,24.5,25.0,,,斤,2021-12-10 00:00:00
羊里脊,36.0,36.0,36.0,,,斤,2021-12-10 00:00:00
淘汰鸡,10.0,10.0,10.0,干净膛,,斤,2021-12-10 00:00:00
淘汰鸡,9.0,9.25,9.5,净膛,,斤,2021-12-10 00:00:00
仔鸡,7.0,7.25,7.5,净膛,,斤,2021-12-10 00:00:00
肉鸡,6.5,6.5,6.5,,,斤,2021-12-10 00:00:00
鸡胸,6.5,6.75,7.0,,,斤,2021-12-10 00:00:00
鸡翅,10.0,10.25,10.5,,,斤,2021-12-10 00:00:00
鸡翅尖,7.0,7.25,7.5,,,斤,2021-12-10 00:00:00
鸡翅中,20.0,20.0,20.0,,,斤,2021-12-10 00:00:00
鸡翅根,7.5,7.5,7.5,,,斤,2021-12-10 00:00:00
鸡边腿,6.5,6.5,6.5,,,斤,2021-12-10 00:00:00
鸡排腿,7.0,7.25,7.5,,,斤,2021-12-10 00:00:00
鸡琵琶腿,7.0,7.25,7.5,,,斤,2021-12-10 00:00:00
鸡胗,12.0,14.0,16.0,,,斤,2021-12-10 00:00:00
鸡爪,15.0,15.0,15.0,,,斤,2021-12-10 00:00:00
鸡心,6.0,6.0,6.0,,,斤,2021-12-10 00:00:00
鸡肝,2.5,2.5,2.5,,,斤,2021-12-10 00:00:00
鸡脖子,4.5,4.5,4.5,去皮,,斤,2021-12-10 00:00:00
鸡头,2.5,2.5,2.5,,,斤,2021-12-10 00:00:00
鸡架子,2.5,2.5,2.5,,,斤,2021-12-10 00:00:00
鲫鱼,8.0,8.5,9.0,100g-150g,,斤,2021-12-10 00:00:00
鲫鱼,9.0,9.5,10.0,200g-250g,,斤,2021-12-10 00:00:00
鲫鱼,10.0,10.5,11.0,350g-400g,,斤,2021-12-10 00:00:00
胖头鱼,8.0,8.25,8.5,>2000g,,斤,2021-12-10 00:00:00
胖头鱼,8.5,8.75,9.0,<2000g,,斤,2021-12-10 00:00:00
武昌鱼,8.5,9.0,9.5,700g左右,,斤,2021-12-10 00:00:00
鲢鱼,4.0,4.25,4.5,>1500g,,斤,2021-12-10 00:00:00
鲢鱼,4.0,4.25,4.5,1000-1500g,,斤,2021-12-10 00:00:00
鲶鱼,4.0,4.0,4.0,养殖,,斤,2021-12-10 00:00:00
黑鱼,11.0,11.5,12.0,<1500g,,斤,2021-12-10 00:00:00
黑鱼,14.0,14.5,15.0,>1500g,,斤,2021-12-10 00:00:00
黄鳝,35.0,35.0,35.0,50g-100g,,斤,2021-12-10 00:00:00
黄鳝,38.0,38.0,38.0,100g-200g,,斤,2021-12-10 00:00:00
罗非鱼,9.0,9.0,9.0,活,,斤,2021-12-10 00:00:00
虹鳟鱼,18.0,19.0,20.0,活,,斤,2021-12-10 00:00:00
鲟鱼,13.0,14.0,15.0,活,,斤,2021-12-10 00:00:00
桂鱼,35.0,35.0,35.0,标桂,,斤,2021-12-10 00:00:00
嘎鱼,18.0,18.5,19.0,>100g,,斤,2021-12-10 00:00:00
嘎鱼,16.0,16.5,17.0,<100g,,斤,2021-12-10 00:00:00
淡水鲈鱼,16.0,16.5,17.0,活,,斤,2021-12-10 00:00:00
鱿鱼,18.0,19.0,20.0,去头,,斤,2021-12-10 00:00:00
偏口鱼,19.0,19.5,20.0,750g-2500g鲜,,斤,2021-12-10 00:00:00
红娘子鱼,5.0,6.0,7.0,100g-200g鲜,,斤,2021-12-10 00:00:00
快鱼,10.0,10.0,10.0,<200g/鲜,,斤,2021-12-10 00:00:00
支鱼,7.0,7.0,7.0,鲜,,斤,2021-12-10 00:00:00
香梭鱼,7.0,7.0,7.0,鲜,,斤,2021-12-10 00:00:00
针鱼,10.0,10.0,10.0,鲜,,斤,2021-12-10 00:00:00
牛尾巴鱼,7.0,7.0,7.0,鲜,,斤,2021-12-10 00:00:00
海鳗,9.0,9.0,9.0,冻,,斤,2021-12-10 00:00:00
鳕鱼,6.0,6.5,7.0,冻,,斤,2021-12-10 00:00:00
燕鲅,14.0,16.0,18.0,鲜,,斤,2021-12-10 00:00:00
鲐鲅,4.0,4.5,5.0,<300g/冻,,斤,2021-12-10 00:00:00
鲽鱼,26.0,27.0,28.0,750左右/冻,,斤,2021-12-10 00:00:00
海鲈鱼,12.0,12.5,13.0,鲜,,斤,2021-12-10 00:00:00
墨鱼,20.0,20.0,20.0,鲜,,斤,2021-12-10 00:00:00
金鲳鱼,12.0,12.5,13.0,400g-500g,,斤,2021-12-10 00:00:00
金鲳鱼,13.0,13.5,14.0,500g-600g,,斤,2021-12-10 00:00:00
小公鱼,9.0,9.0,9.0,鲜,,斤,2021-12-10 00:00:00
公河蟹,22.0,23.5,25.0,125g左右,,斤,2021-12-10 00:00:00
公河蟹,25.0,27.5,30.0,150g左右,,斤,2021-12-10 00:00:00
白条乌鸡,11.0,11.0,11.0,净膛,,斤,2021-12-10 00:00:00
黑爪公鸡,12.0,12.0,12.0,净膛,,斤,2021-12-10 00:00:00
鸭腿,6.0,6.25,6.5,,,斤,2021-12-10 00:00:00
白条湖鸭,7.0,7.0,7.0,,,斤,2021-12-10 00:00:00
箱鸡蛋,207.0,209.5,212.0,,,箱,2021-12-10 00:00:00
箱鸡蛋,4.7,4.75,4.8,,,斤,2021-12-10 00:00:00
散鸡蛋,4.9,4.9,4.9,,,斤,2021-12-10 00:00:00
生鸭蛋,7.0,7.25,7.5,,,斤,2021-12-10 00:00:00
熟鸭蛋,7.3,7.9,8.5,,,斤,2021-12-10 00:00:00
松花蛋,7.5,8.0,8.5,,,斤,2021-12-10 00:00:00
鹅蛋,14.5,15.0,15.5,,,斤,2021-12-10 00:00:00
鹌鹑蛋,5.7,6.1,6.5,,,斤,2021-12-10 00:00:00
柴鸡蛋,5.0,7.25,9.5,,,斤,2021-12-10 00:00:00
乌鸡蛋,8.0,8.75,9.5,,,斤,2021-12-10 00:00:00
鸵鸟蛋,100.0,105.0,110.0,,,个,2021-12-10 00:00:00
鸽子蛋,3.0,3.0,3.0,,,个,2021-12-10 00:00:00
鲤鱼,6.5,6.75,7.0,750g-1000g,,斤,2021-12-10 00:00:00
鲤鱼,6.5,6.75,7.0,>1000g,,斤,2021-12-10 00:00:00
草鱼,7.8,8.0,8.2,750g-1000g,,斤,2021-12-10 00:00:00
草鱼,7.8,8.0,8.2,>1000g,,斤,2021-12-10 00:00:00
泥鳅,10.0,12.5,15.0,活,,斤,2021-12-10 00:00:00
清江鱼,10.3,10.65,11.0,活,,斤,2021-12-10 00:00:00
八爪鱼,35.0,37.5,40.0,活,,斤,2021-12-10 00:00:00
